# algorithm, M, K, N, iterations, total_runtime(ms), average_runtime(ms)
cusparseSpMM, 7, 7, 7, 1000, 45.000000, 0.045000
cublasSgemm, 7, 7, 7, 1000, 25.000000, 0.025000
cusparseSpMM, 8, 8, 8, 1000, 15.000000, 0.015000
cublasSgemm, 8, 8, 8, 1000, 17.000000, 0.017000
cusparseSpMM, 10, 10, 10, 1000, 15.000000, 0.015000
cublasSgemm, 10, 10, 10, 1000, 14.000000, 0.014000
cusparseSpMM, 15, 15, 15, 1000, 10.000000, 0.010000
cublasSgemm, 15, 15, 15, 1000, 14.000000, 0.014000
cusparseSpMM, 16, 16, 16, 1000, 11.000000, 0.011000
cublasSgemm, 16, 16, 16, 1000, 14.000000, 0.014000
cusparseSpMM, 18, 18, 18, 1000, 10.000000, 0.010000
cublasSgemm, 18, 18, 18, 1000, 16.000000, 0.016000
cusparseSpMM, 63, 63, 63, 1000, 12.000000, 0.012000
cublasSgemm, 63, 63, 63, 1000, 14.000000, 0.014000
cusparseSpMM, 64, 64, 64, 1000, 11.000000, 0.011000
cublasSgemm, 64, 64, 64, 1000, 14.000000, 0.014000
cusparseSpMM, 66, 66, 66, 1000, 11.000000, 0.011000
cublasSgemm, 66, 66, 66, 1000, 14.000000, 0.014000
cusparseSpMM, 255, 255, 255, 1000, 140.000000, 0.140000
cublasSgemm, 255, 255, 255, 1000, 14.000000, 0.014000
cusparseSpMM, 256, 256, 256, 1000, 87.000000, 0.087000
cublasSgemm, 256, 256, 256, 1000, 15.000000, 0.015000
cusparseSpMM, 258, 258, 258, 1000, 92.000000, 0.092000
cublasSgemm, 258, 258, 258, 1000, 14.000000, 0.014000
cusparseSpMM, 511, 511, 511, 1000, 923.000000, 0.923000
cublasSgemm, 511, 511, 511, 1000, 37.000000, 0.037000
cusparseSpMM, 512, 512, 512, 1000, 930.000000, 0.930000
cublasSgemm, 512, 512, 512, 1000, 37.000000, 0.037000
cusparseSpMM, 514, 514, 514, 1000, 955.000000, 0.955000
cublasSgemm, 514, 514, 514, 1000, 48.000000, 0.048000
cusparseSpMM, 1023, 1023, 1023, 1000, 7167.000000, 7.167000
cublasSgemm, 1023, 1023, 1023, 1000, 278.000000, 0.278000
cusparseSpMM, 1024, 1024, 1024, 1000, 7254.000000, 7.254000
cublasSgemm, 1024, 1024, 1024, 1000, 281.000000, 0.281000
cusparseSpMM, 1026, 1026, 1026, 1000, 7425.000000, 7.425000
cublasSgemm, 1026, 1026, 1026, 1000, 327.000000, 0.327000
cusparseSpMM, 2047, 2047, 2047, 1000, 67835.000000, 67.835000
cublasSgemm, 2047, 2047, 2047, 1000, 2111.000000, 2.111000
cusparseSpMM, 2048, 2048, 2048, 1000, 67049.000000, 67.049000
cublasSgemm, 2048, 2048, 2048, 1000, 2034.000000, 2.034000
cusparseSpMM, 2050, 2050, 2050, 1000, 66914.000000, 66.914000
cublasSgemm, 2050, 2050, 2050, 1000, 2239.000000, 2.239000
cusparseSpMM, 4095, 4095, 4095, 1000, 679901.000000, 679.901000
cublasSgemm, 4095, 4095, 4095, 1000, 18.000000, 0.018000
cusparseSpMM, 4096, 4096, 4096, 1000, 719087.000000, 719.087000
cublasSgemm, 4096, 4096, 4096, 1000, 36.000000, 0.036000
cusparseSpMM, 4098, 4098, 4098, 1000, 865050.000000, 865.050000
cublasSgemm, 4098, 4098, 4098, 1000, 81.000000, 0.081000
