# algorithm, M, K, N, iterations, total_runtime(ms), average_runtime(ms)
cusparseSpMM, 7, 7, 7, 1000, 18.000000, 0.018000
cublasSgemm, 7, 7, 7, 1000, 12.000000, 0.012000
cusparseSpMM, 8, 8, 8, 1000, 10.000000, 0.010000
cublasSgemm, 8, 8, 8, 1000, 14.000000, 0.014000
cusparseSpMM, 10, 10, 10, 1000, 10.000000, 0.010000
cublasSgemm, 10, 10, 10, 1000, 13.000000, 0.013000
cusparseSpMM, 15, 15, 15, 1000, 10.000000, 0.010000
cublasSgemm, 15, 15, 15, 1000, 14.000000, 0.014000
cusparseSpMM, 16, 16, 16, 1000, 60.000000, 0.060000
cublasSgemm, 16, 16, 16, 1000, 14.000000, 0.014000
cusparseSpMM, 18, 18, 18, 1000, 10.000000, 0.010000
cublasSgemm, 18, 18, 18, 1000, 19.000000, 0.019000
cusparseSpMM, 63, 63, 63, 1000, 11.000000, 0.011000
cublasSgemm, 63, 63, 63, 1000, 13.000000, 0.013000
cusparseSpMM, 64, 64, 64, 1000, 10.000000, 0.010000
cublasSgemm, 64, 64, 64, 1000, 14.000000, 0.014000
cusparseSpMM, 66, 66, 66, 1000, 10.000000, 0.010000
cublasSgemm, 66, 66, 66, 1000, 14.000000, 0.014000
cusparseSpMM, 255, 255, 255, 1000, 140.000000, 0.140000
cublasSgemm, 255, 255, 255, 1000, 14.000000, 0.014000
cusparseSpMM, 256, 256, 256, 1000, 85.000000, 0.085000
cublasSgemm, 256, 256, 256, 1000, 13.000000, 0.013000
cusparseSpMM, 258, 258, 258, 1000, 91.000000, 0.091000
cublasSgemm, 258, 258, 258, 1000, 15.000000, 0.015000
cusparseSpMM, 511, 511, 511, 1000, 921.000000, 0.921000
cublasSgemm, 511, 511, 511, 1000, 39.000000, 0.039000
cusparseSpMM, 512, 512, 512, 1000, 926.000000, 0.926000
cublasSgemm, 512, 512, 512, 1000, 39.000000, 0.039000
cusparseSpMM, 514, 514, 514, 1000, 949.000000, 0.949000
cublasSgemm, 514, 514, 514, 1000, 49.000000, 0.049000
cusparseSpMM, 1023, 1023, 1023, 1000, 7129.000000, 7.129000
cublasSgemm, 1023, 1023, 1023, 1000, 272.000000, 0.272000
cusparseSpMM, 1024, 1024, 1024, 1000, 7246.000000, 7.246000
cublasSgemm, 1024, 1024, 1024, 1000, 274.000000, 0.274000
cusparseSpMM, 1026, 1026, 1026, 1000, 7426.000000, 7.426000
cublasSgemm, 1026, 1026, 1026, 1000, 325.000000, 0.325000
cusparseSpMM, 2047, 2047, 2047, 1000, 67936.000000, 67.936000
cublasSgemm, 2047, 2047, 2047, 1000, 2203.000000, 2.203000
cusparseSpMM, 2048, 2048, 2048, 1000, 70142.000000, 70.142000
cublasSgemm, 2048, 2048, 2048, 1000, 2184.000000, 2.184000
cusparseSpMM, 2050, 2050, 2050, 1000, 71233.000000, 71.233000
cublasSgemm, 2050, 2050, 2050, 1000, 2435.000000, 2.435000
cusparseSpMM, 4095, 4095, 4095, 1000, 699559.000000, 699.559000
cublasSgemm, 4095, 4095, 4095, 1000, 21.000000, 0.021000
cusparseSpMM, 4096, 4096, 4096, 1000, 710376.000000, 710.376000
cublasSgemm, 4096, 4096, 4096, 1000, 24.000000, 0.024000
cusparseSpMM, 4098, 4098, 4098, 1000, 661580.000000, 661.580000
cublasSgemm, 4098, 4098, 4098, 1000, 23.000000, 0.023000
